	Year	Country	Latitude	Longitude	Focal Depth (km)	Mag	MMI Int	Deaths	Damage Description	Houses Destroyed Description	Death Description
32	551	40	38.4	22.3	38.07843137254902	7.1	9.0	5000	4	4	4
33	551	59	33.9	35.5	38.705882352941174	7.3	10.0	23333	4	3	4
34	554	40	36.8	27.3	39.33333333333333	7.0	9.5	41666	2	2	3
35	587	105	36.25	36.1	39.96078431372549	6.625	9.0	60000	4	2	4
36	600	21	34.3	108.9	40.588235294117645	6.25	7.0	101	2	3	3
37	614	52	41.0	15.0	41.21568627450981	5.875	7.0	1000	3	2	3
38	649	21	36.1	111.5	41.84313725490196	5.5	7.0	50	2	2	1
39	662	49	35.3	54.0	42.470588235294116	6.95	7.666666666666667	40000	3	2	4
40	684	54	32.5	134.0	43.09803921568627	8.4	8.333333333333334	21000	3	2	3
41	688	105	38.4	27.2	43.72549019607843	7.7	9.0	2000	3	2	4
42	734	21	34.6	105.6	44.35294117647059	7.0	9.0	101	2	3	3
43	740	105	40.7	29.3	44.98039215686275	7.3	9.0	134	3	3	3
44	742	97	35.0	38.0	45.6078431372549	6.733333333333333	8.5	167	3	3	3
45	777	21	37.8	115.2	46.23529411764706	6.166666666666666	8.0	200	2	3	3
46	778	52	45.4	12.2	46.86274509803921	5.6	8.0	48	2	3	1
47	780	93	35.5	129.1	47.49019607843137	6.3	8.0	100	2	3	2
48	793	52	45.5	11.0	48.11764705882353	6.533333333333333	8.0	750	3	3	3
49	811	108	56.3	-2.8	48.74509803921569	6.766666666666667	8.0	1400	3	3	4
50	814	21	27.9	102.2	49.372549019607845	7.0	8.0	101	1	3	3
51	818	0	36.8	66.2	50.0	7.5	8.0	5067	3	3	3
52	818	54	35.2	139.3	46.0	7.9	8.0	10033	2	3	3
53	838	112	40.4	71.3	42.0	7.9	8.0	15000	4	3	4
54	844	97	33.5	36.3	38.0	7.9	8.0	50000	4	3	4
55	847	50	36.21	42.08	34.0	7.9	10.0	70000	3	3	4
56	850	49	35.3	51.2	30.0	7.9	10.0	45000	3	3	4
57	854	5	40.0	45.0	26.0	7.9	10.0	2000	3	3	4
58	855	49	35.3	51.2	22.0	7.9	10.0	23500	3	3	3
59	856	104	36.8	10.2	18.0	7.9	10.0	45000	4	3	4
60	856	49	36.2	54.3	14.0	7.9	10.0	200000	4	4	4
61	858	105	40.0	44.6	10.0	5.2	10.333333333333334	12000	3	3	4
62	858	49	38.0	46.2	10.0	5.125	10.666666666666666	13000	3	3	3
63	859	105	36.0	36.0	10.0	5.050000000000001	11.0	14000	3	3	3
64	863	49	35.3	51.2	10.0	4.9750000000000005	10.333333333333334	15000	3	3	3
65	863	105	40.0	44.6	10.0	4.9	9.666666666666666	16000	2	3	3
66	863	54	37.1	138.0	10.0	7.0	9.0	17000	3	3	3
67	863	49	38.0	46.2	10.0	7.8	8.333333333333334	18000	3	3	3
68	869	54	38.5	143.8	10.0	8.6	7.666666666666667	19000	4	3	3
69	871	49	33.2	47.2	10.0	6.8	7.0	20000	4	4	4
70	876	21	37.8	105.9	10.0	6.5	8.0	10500	2	2	3
71	885	32	30.0	31.1	10.0	7.55	10.0	1000	3	3	3
72	887	54	33.0	135.3	10.0	8.6	10.0	75500	3	3	2
73	893	5	40.0	44.6	10.0	6.949999999999999	10.0	150000	4	4	4
74	894	52	45.3	11.0	10.909090909090908	5.3	9.5	101666	2	3	2
75	896	52	41.9	12.6	11.818181818181818	5.3	9.0	53333	3	3	3
76	943	106	38.0	58.3	12.727272727272727	5.3	8.5	5000	3	3	4
77	956	49	34.9	48.4	13.636363636363637	5.3	8.0	4000	2	3	3
78	958	49	35.3	51.2	14.545454545454545	5.3	7.5	3000	3	3	3
79	978	49	27.7	52.3	15.454545454545453	5.3	7.0	2000	3	3	4
80	986	50	36.2	43.1	16.363636363636363	5.475	8.0	1354	3	3	3
81	999	21	29.0	112.0	17.272727272727273	5.65	7.75	708	2	3	2
82	1000	21	35.0	110.0	18.18181818181818	5.825	7.5	62	1	3	2
83	1001	52	45.3	11.0	19.09090909090909	6.0	7.25	5374	2	3	3
84	1003	105	40.5	43.3	20.0	4.2	7.0	10687	2	3	3
85	1007	50	33.2	44.2	19.375	5.35	8.0	16000	3	3	4
86	1008	49	27.665	52.348	18.75	6.5	9.0	16000	4	3	4
87	1033	97	33.0	35.0	18.125	6.766666666666667	10.0	70000	3	3	4
88	1037	21	32.0	119.0	17.5	7.033333333333333	10.0	22391	4	2	4
89	1038	21	38.4	112.9	16.875	7.3	10.0	32300	4	2	4
90	1039	105	38.4	27.3	16.25	6.8	9.666666666666666	36150	2	2	3
91	1042	49	38.0	46.2	15.625	7.199999999999999	9.333333333333334	40000	4	2	4
92	1042	49	38.1	46.3	15.0	7.6	9.0	50000	4	2	4
93	1046	105	40.5	43.5	15.0	5.5	8.0	37500	3	2	3
94	1057	21	39.7	116.3	14.642857142857142	6.8	9.0	25000	4	2	4
95	1058	50	34.3	44.7	14.285714285714286	6.8	8.5	16991	3	2	3
96	1063	59	34.3	35.5	13.928571428571429	6.8	8.0	8983	3	3	3
97	1065	52	38.1	15.1	13.571428571428571	6.8	10.0	975	3	3	3
98	1065	49	35.0	58.0	13.214285714285714	6.8	9.666666666666666	820	3	3	3
99	1066	49	34.0	58.0	12.857142857142858	6.8	9.333333333333334	666	3	3	3
100	1067	21	23.6	116.5	12.5	6.8	9.0	512	4	3	3
101	1068	51	29.5	34.95	12.142857142857142	6.4	9.0	358	4	4	3
102	1068	21	38.5	116.1	11.785714285714285	6.0	8.0	204	3	3	3
103	1072	117	14.2	43.3	11.428571428571429	5.86	8.0	50	2	2	1
104	1076	97	35.0	38.0	11.071428571428571	5.72	8.0	366	3	2	3
105	1085	49	31.0	49.0	10.714285714285715	5.58	8.4	683	3	2	3
106	1086	52	37.0	15.3	10.357142857142858	5.4399999999999995	8.8	1000	3	2	3
107	1088	37	41.4	43.2	10.0	5.3	9.2	39166	3	2	3
108	1102	21	37.5	112.6	10.0	5.416666666666666	9.6	77333	3	3	3
109	1117	52	44.8	11.3	10.0	5.533333333333333	10.0	115500	3	3	3
110	1118	108	40.55	27.200000000000003	10.0	5.65	9.5	153666	4	3	3
111	1137	50	36.3	43.1	10.0	5.766666666666667	9.0	191833	4	3	3
112	1139	8	40.3	46.3	10.0	5.883333333333333	11.0	230000	4	4	4
113	1143	21	38.5	106.3	10.0	6.0	8.0	10000	3	3	4
114	1151	84	38.7	-9.1	10.0	6.177777777777778	8.6	1000	1	3	3
115	1156	97	36.2	37.2	10.0	6.355555555555555	9.2	2000	3	3	4
116	1157	97	35.1	36.3	10.0	6.533333333333333	9.8	8000	4	3	4
117	1158	97	38.4	38.35	10.0	6.711111111111111	10.4	20000	4	4	4
118	1169	52	37.3	15.03	10.0	6.888888888888888	11.0	16000	3	3	4
119	1169	97	36.2	37.2	10.0	7.066666666666666	10.0	80000	3	3	4
120	1175	49	35.3	51.2	10.0	7.244444444444444	10.333333333333334	50000	3	3	3
121	1183	97	34.5	36.5	10.0	7.422222222222222	10.666666666666666	20000	3	3	4
122	1202	97	33.5	36.0	10.0	7.6	11.0	30000	4	4	4
123	1208	106	42.0	60.0	10.0	6.1	9.0	2000	3	3	4
124	1209	21	36.0	111.8	11.8	6.3	9.0	3000	3	3	4
125	1219	21	36.0	106.2	13.6	6.5	9.0	10000	4	3	4
126	1222	52	45.55	10.22	15.4	6.525	10.0	12000	4	4	4
127	1227	36	43.6	5.3	17.2	6.55	11.0	5000	3	3	4
128	1248	52	41.0	13.0	19.0	6.575	10.333333333333334	9000	4	3	4
129	1255	73	27.7	85.3	20.8	6.6	9.666666666666666	12000	3	3	3
130	1268	105	39.75	39.5	22.6	6.625	9.0	15000	3	3	4
131	1269	105	38.875	42.85	24.4	6.65	9.0	8000	3	3	4
132	1272	49	38.0	46.2	26.2	6.675	9.0	250	2	3	3
133	1275	37	42.1	44.2	28.0	6.7	9.0	2687	3	3	3
134	1276	70	35.1	-6.1	27.5	5.9	9.0	5125	3	3	3
135	1277	52	45.3	11.0	27.0	5.1	9.0	7562	2	3	2
136	1289	21	40.0	116.5	26.5	5.949999999999999	9.0	10000	4	3	4
137	1290	21	41.5	119.3	26.0	6.8	9.0	100000	3	3	4
138	1291	21	36.1	111.5	25.5	6.5	8.0	150	3	3	3
139	1293	54	35.2	139.4	25.0	7.1	8.0	23024	3	3	4
140	1295	96	46.9	9.5	24.5	7.3999999999999995	8.0	16682	3	3	3
141	1295	96	46.9	9.5	24.0	7.7	8.0	10341	3	3	2
142	1303	40	35.0	27.0	23.5	8.0	9.0	4000	3	3	4
143	1303	21	36.3	111.7	23.0	8.0	11.0	3000	4	4	4
144	1305	21	39.8	113.1	22.5	6.5	9.0	2000	3	4	4
145	1306	21	35.9	106.1	22.0	6.5	9.0	5000	3	3	4
146	1310	21	31.2	112.2	21.5	6.0	8.0	3466	3	4	4
147	1310	50	35.6	46.0	21.0	5.5	7.0	1903	3	3	3
148	1314	21	36.5	113.8	20.5	6.0	8.0	340	2	2	3
149	1319	49	39.1	44.5	20.0	6.533333333333333	7.0	75	3	3	2
150	1328	52	42.8	13.0	19.5	7.066666666666666	10.0	5000	3	3	4
151	1336	49	34.7	59.7	19.0	7.6	9.0	20000	3	3	4
152	1339	59	34.3	35.5	18.5	7.493333333333333	8.0	60	2	3	2
153	1340	21	29.0	111.3	18.0	7.386666666666667	8.5	360	1	3	3
154	1344	97	36.527	37.956	17.5	7.279999999999999	9.0	5700	4	4	4
155	1344	49	32.6	51.7	17.0	7.173333333333333	9.25	20	1	3	1
156	1345	52	43.8	11.3	16.5	7.066666666666666	9.5	1680	3	3	3
157	1347	21	36.9	118.2	16.0	6.96	9.75	3340	3	3	3
158	1348	7	46.4	13.5	15.5	6.8533333333333335	10.0	5000	4	3	4
159	1349	52	42.3	13.5	15.0	6.746666666666666	10.0	2000	3	3	4
160	1352	52	43.5	12.1	14.5	6.64	11.0	2000	3	3	4
161	1354	97	35.1	36.4	14.0	6.533333333333333	7.0	24	2	3	1
162	1356	96	47.4	7.6	13.5	6.426666666666667	10.0	300	4	3	3
163	1358	117	14.1	43.2	13.0	6.32	8.0	61	2	3	2
164	1361	52	40.3	15.6	12.5	6.213333333333333	10.0	4000	3	3	4
165	1365	2	36.8	3.0	12.0	6.1066666666666665	8.5	3577	3	3	3
166	1368	21	37.6	112.5	11.5	6.0	7.0	3155	3	2	2
167	1375	96	46.9	8.4	11.0	5.933333333333334	8.0	2733	3	2	3
168	1387	117	12.4	45.1	10.5	5.866666666666666	8.5	2311	3	2	3
169	1389	49	36.2	58.5	10.0	5.8	9.0	1888	3	2	3
170	1390	112	39.8	64.4	20.0	6.1	8.0	1466	2	2	1
171	1405	49	36.0	58.8	15.0	6.7	9.0	1044	4	2	3
172	1408	105	36.2	36.1	17.65625	6.766666666666667	10.0	622	3	2	3
173	1414	52	43.5	12.1	20.3125	6.833333333333333	10.0	200	2	2	3
174	1426	117	14.1	43.2	22.96875	6.9	11.0	60	3	2	2
175	1427	94	41.7	2.2	25.625	6.966666666666667	11.0	330	3	2	3
176	1428	36	43.4	4.4	28.28125	7.033333333333333	9.0	600	2	2	3
177	1433	54	34.9	139.5	30.9375	7.1	8.5	400	3	2	3
178	1440	21	36.2	103.3	33.59375	6.3	8.0	200	2	2	3
179	1445	21	24.5	117.6	36.25	6.3	8.0	7650	3	3	3
180	1447	52	41.9	12.6	38.90625	6.3	8.0	15100	3	3	3
181	1455	93	35.9	126.5	41.5625	6.3	8.0	22550	2	3	3
182	1456	52	40.4	14.5	44.21875	6.033333333333333	11.0	30000	4	3	4
183	1458	51	31.2	34.2	46.875	5.766666666666667	8.0	100	2	3	2
184	1478	21	27.5	101.6	49.53125	5.5	7.0	6080	2	2	3
185	1481	40	36.0	28.0	52.1875	7.1	10.0	12060	3	2	3
186	1481	21	26.5	99.9	54.84375	6.0	8.0	18040	3	3	3
187	1481	40	36.0	28.0	57.5	6.75	9.0	24020	3	2	3
188	1482	105	39.9	40.4	60.15625	7.5	10.0	30000	3	2	4
189	1484	21	40.5	116.5	62.8125	6.8	9.0	20633	2	2	2
190	1484	49	37.0	49.0	65.46875	6.55	8.5	11266	3	2	3
191	1487	21	34.4	108.9	68.125	6.3	8.0	1900	3	3	4
192	1488	21	31.7	103.9	70.78125	5.5	7.0	3450	1	1	2
193	1491	40	36.9	27.0	73.4375	5.5	8.0	5000	3	2	4
194	1493	40	36.8	27.0	76.09375	5.5	9.0	2501	2	3	3
195	1494	21	25.5	103.8	78.75	5.5	7.0	3	2	2	1
196	1495	54	35.1	139.5	81.40625	7.1	7.666666666666667	5001	1	1	3
197	1499	21	25.0	103.0	84.0625	7.05	8.333333333333334	10000	4	2	4
198	1501	21	34.8	110.1	86.71875	7.0	9.0	400	4	4	3
199	1502	21	35.7	115.3	89.375	6.5	8.0	50	2	3	1
200	1504	96	46.8	10.2	92.03125	7.35	8.0	112	3	3	2
201	1505	73	29.5	83.0	94.6875	8.2	10.0	175	3	3	3
202	1505	0	34.5	69.2	97.34375	8.033333333333333	12.0	237	3	3	3
203	1508	40	35.2	25.1	100.0	7.866666666666666	10.0	300	2	3	3
204	1509	105	40.8	28.1	53.5	7.7	10.0	5000	4	4	4
205	1511	90	46.2	13.433	7.0	6.5	10.0	15	3	3	1
206	1511	52	46.1	13.4	7.722222222222222	6.666666666666667	10.0	3000	3	3	4
207	1512	96	46.4	9.0	8.444444444444445	6.833333333333333	7.0	1550	3	3	3
208	1515	21	26.6	100.2	9.166666666666666	7.0	9.0	100	3	3	2
209	1515	21	25.7	100.2	9.88888888888889	6.25	8.0	200	3	3	3
210	1517	21	24.1	102.6	10.61111111111111	5.5	7.0	1160	1	1	2
211	1518	94	37.2	-1.5	11.333333333333332	5.5	11.0	2120	4	1	3
212	1520	21	25.3	100.3	12.055555555555555	5.5	7.0	3080	1	2	3
213	1522	94	36.97	-2.66	12.777777777777779	6.233333333333333	11.0	4040	3	2	4
214	1522	9	37.7	-25.4	13.5	6.966666666666667	10.0	5000	3	3	4
215	1531	84	38.7	-9.1	14.222222222222221	7.7	10.0	30000	3	4	4
216	1535	21	25.8	116.4	14.944444444444445	5.0	10.0	15001	1	3	3
217	1536	21	28.1	102.1	15.666666666666666	7.3	10.0	3	3	3	3
218	1542	52	44.07	11.3	16.38888888888889	7.2	10.0	113	3	3	1
219	1543	114	10.5	-64.2	17.11111111111111	7.1	10.5	1075	3	3	3
220	1546	51	32.0	35.5	17.833333333333336	7.0	11.0	2037	3	3	3
221	1549	49	33.5	59.1	18.555555555555557	7.15	10.333333333333334	3000	3	3	4
222	1550	49	38.0	46.0	19.27777777777778	7.3	9.666666666666666	2500	3	3	3
223	1551	84	38.7	-9.1	20.0	7.449999999999999	9.0	2000	3	3	4
224	1555	47	33.5	75.5	20.72222222222222	7.6	12.0	416000	3	3	3
225	1556	21	34.5	109.7	21.444444444444443	8.0	11.0	830000	4	3	4
226	1560	21	24.9	103.2	22.166666666666664	5.5	7.0	415050	3	3	4
227	1560	21	24.2	102.7	22.88888888888889	5.5	7.0	100	2	2	3
228	1561	21	37.5	106.2	23.61111111111111	7.3	10.0	1001	4	2	4
229	1561	52	40.5	14.7	24.333333333333332	6.8	10.0	600	2	2	3
230	1561	21	38.0	112.0	25.055555555555554	6.3	9.5	625	3	2	4
231	1564	36	44.017	7.283	25.77777777777778	5.8	9.0	650	4	3	3
232	1568	21	34.4	109.0	26.5	6.8	9.0	200	2	3	3
233	1568	66	20.2	-103.5	27.22222222222222	6.4	8.5	60	3	3	2
234	1571	21	24.1	102.7	27.944444444444443	6.0	8.0	440	3	4	2
235	1573	21	34.4	104.0	28.666666666666668	6.8	9.0	820	3	3	3
236	1574	49	34.0	51.4	29.38888888888889	7.65	9.5	1200	3	3	4
237	1575	20	-39.8	-73.2	30.11111111111111	8.5	10.0	21	3	3	1
238	1576	33	-7.399999999999999	12.700000000000003	30.833333333333332	7.5	9.0	95	4	3	3
239	1577	21	25.0	98.6	31.555555555555554	6.5	8.0	170	2	3	3
240	1579	21	25.1	99.9	32.27777777777778	5.0	6.0	10	1	3	1
241	1580	108	51.019	1.309	33.0	6.2	8.0	32	2	3	2
242	1581	81	-14.1	-71.5	15.0	6.4	10.0	55	1	3	3
243	1582	81	-16.6	-71.6	30.0	8.2	10.0	77	3	4	3
244	1584	96	46.33	6.97	34.285714285714285	5.9	7.0	100	3	2	2
245	1584	96	46.2	7.0	38.57142857142857	5.65	5.0	2075	3	2	3
246	1584	96	46.3	7.0	42.85714285714286	5.4	5.0	4050	3	3	3
247	1585	40	40.2	24.5	47.14285714285714	7.0	5.666666666666667	6025	1	3	1
248	1586	54	35.0	136.8	51.42857142857143	8.2	6.333333333333333	8000	3	4	4
249	1586	21	25.3	100.3	55.714285714285715	5.5	7.0	20	1	1	1
250	1586	81	-12.3	-77.7	60.0	8.5	10.0	22	3	3	1
251	1587	84	37.1	-8.0	56.0	7.0	10.0	170	1	1	3
252	1590	21	35.4	103.9	52.0	5.5	7.0	144	3	1	3
253	1590	25	45.9	16.3	48.0	6.05	10.0	118	3	1	3
254	1590	7	48.3	15.5	44.0	6.6	10.0	92	3	1	3
255	1590	81	-17.2	-72.9	40.0	7.7	7.0	66	1	1	1
256	1594	81	-14.0	-76.0	38.0	7.35	9.0	40	2	2	1
257	1600	21	23.5	117.2	36.0	7.0	9.0	29	3	3	3
258	1601	82	14.6	121.0	34.0	6.6	8.0	19	2	2	1
259	1601	96	46.8	8.5	32.0	6.2	8.0	9	2	2	1
260	1604	81	-17.88	-70.94	30.0	8.5	11.0	100	3	3	2
261	1605	21	19.9	110.5	30.666666666666668	7.5	10.0	2000	4	4	4
262	1606	21	23.6	102.8	31.333333333333332	6.5	9.0	2000	4	4	4
263	1609	21	39.2	99.0	32.0	7.3	10.0	840	3	3	3
264	1610	114	8.3	-71.8	32.666666666666664	7.9	10.0	60	3	2	2
265	1611	21	21.5	111.3	33.333333333333336	5.5	7.0	2	1	2	1
266	1613	52	38.117	14.783	34.0	5.6	10.0	103	2	3	3
267	1614	9	38.4	-24.1	34.666666666666664	6.05	10.0	419	3	3	3
268	1614	21	37.2	112.5	35.333333333333336	6.5	8.0	735	3	3	1
269	1614	54	37.5	138.0	36.0	7.7	8.0	1051	2	3	3
270	1615	54	35.7	139.7	36.666666666666664	6.4	8.0	1367	2	3	3
271	1618	21	37.0	111.9	37.333333333333336	6.5	8.0	1683	3	3	3
272	1618	47	18.9	72.9	38.0	7.025	9.0	2000	3	2	4
273	1618	96	46.3	9.5	38.666666666666664	7.55	7.0	1400	3	2	3
274	1618	49	35.0	58.0	39.33333333333333	8.075	8.0	800	3	2	3
275	1619	81	-7.941	-79.038	40.0	8.6	9.0	350	3	2	3
276	1619	82	18.2	121.6	28.666666666666664	7.666666666666666	10.0	2291	3	1	3
277	1619	38	52.3	14.6	17.333333333333332	6.733333333333333	9.5	4233	3	1	3
278	1620	112	40.9	71.4	6.0	5.8	9.0	6175	3	1	3
279	1621	21	39.5	116.7	15.142857142857142	5.5	7.0	8116	1	1	1
280	1622	96	46.8	10.3	24.285714285714285	6.25	6.0	10058	1	2	2
281	1622	21	36.5	106.3	33.42857142857143	7.0	10.0	12000	4	4	4
282	1626	21	39.4	114.2	42.57142857142857	7.0	9.0	5200	4	4	4
283	1627	21	37.5	105.5	51.71428571428571	6.0	8.0	2631	1	1	2
284	1628	21	40.6	114.2	60.857142857142854	6.3	8.0	63	3	3	2
285	1629	40	36.0	25.0	70.0	7.0	8.0	75	3	3	3
286	1630	21	32.6	104.1	56.666666666666664	6.3	8.0	87	1	3	2
287	1630	40	38.7	20.6	43.33333333333333	7.199999999999999	10.0	100	3	3	3
288	1630	81	-12.2	-77.5	30.0	8.1	7.0	112	1	3	1
289	1631	21	35.3	104.3	29.2	6.0	5.0	125	1	3	1
290	1631	21	29.3	111.7	28.4	6.5	8.0	137	4	4	4
291	1633	54	35.2	139.2	27.6	7.1	9.0	150	2	3	3
292	1633	40	37.5	21.0	26.8	6.9	10.0	90	3	3	3
293	1634	21	34.1	105.3	26.0	6.0	8.0	30	3	3	1
294	1636	40	38.1	20.3	25.2	7.2	10.0	520	3	3	3
295	1636	40	38.1	20.3	24.4	6.45	9.5	3540	3	3	3
296	1636	39	5.1	-2.2	23.6	5.7	9.0	6560	3	3	3
297	1638	52	39.033	16.283	22.8	7.0	11.0	9581	4	4	4
298	1638	52	39.25	16.75	22.0	6.8	9.0	52	2	2	2
299	1639	49	36.2	50.0	21.2	6.6	9.0	12000	3	1	4
300	1640	31	-1.7	-78.6	20.4	6.4	9.0	5000	3	1	4
301	1640	52	38.57	16.53	19.6	6.2	9.0	300	2	1	3
302	1641	49	38.0	46.1	18.799999999999997	6.0	9.0	30000	3	1	4
303	1641	21	23.5	116.5	18.0	5.8	7.0	22537	1	1	1
304	1642	21	35.1	111.1	17.2	6.0	8.0	15075	1	1	2
305	1644	22	7.38	-72.65	16.4	6.9	10.0	7612	3	4	3
306	1644	36	43.0	8.0	15.6	6.9	8.0	150	2	3	3
307	1644	114	7.6	-73.0	14.799999999999999	6.9	8.0	300	3	2	3
308	1644	54	39.4	140.1	14.0	6.9	9.0	450	2	1	2
309	1645	82	14.4	121.0	13.2	8.0	10.0	600	4	4	3
310	1647	20	-33.4	-70.6	12.399999999999999	8.5	11.0	1000	4	3	3
311	1648	105	38.3	43.2	11.599999999999998	7.6	10.333333333333334	2000	3	3	4
312	1650	49	38.0	46.2	10.799999999999997	6.7	9.666666666666666	2333	3	3	3
313	1652	86	42.1	47.7	10.0	5.8	9.0	2666	2	3	1
314	1652	21	25.4	100.5	10.227272727272727	6.8	9.0	3000	4	4	4
315	1653	105	38.2	28.2	10.454545454545455	7.5	10.0	2500	3	4	4
316	1654	21	34.3	105.5	10.681818181818182	8.0	11.0	10400	4	4	4
317	1654	52	41.4	13.6	10.909090909090908	8.0	10.0	600	3	3	3
318	1654	94	40.1	3.6	11.136363636363637	8.0	9.0	5800	1	3	3
319	1656	81	-12.5	-77.0	11.363636363636363	8.0	8.5	11000	2	3	4
320	1657	36	47.1	0.6	11.59090909090909	8.0	8.0	9434	2	3	1
321	1657	20	-36.83	-73.03	11.818181818181818	8.0	11.0	7868	3	3	1
322	1657	21	31.5	103.6	12.045454545454545	6.0	8.0	6302	3	3	3
323	1658	21	39.4	115.7	12.272727272727273	6.0	8.0	4736	2	2	3
324	1658	81	-8.1	-79.0	12.5	6.0	8.5	3170	3	2	3
325	1658	82	14.4	120.6	12.727272727272727	6.0	9.0	1604	2	2	2
326	1659	54	37.5	140.0	12.954545454545455	6.0	9.25	39	2	3	1
327	1659	33	38.1	78.15	13.181818181818182	6.0	9.5	1037	4	3	3
328	1659	52	38.7	16.3	13.40909090909091	6.0	9.75	2035	4	4	4
329	1660	40	38.4	22.4	13.636363636363637	6.0	10.0	2	1	1	1
330	1660	36	43.1	0.2	13.863636363636363	6.0	9.0	151	2	1	3
331	1661	98	23.0	120.2	14.09090909090909	6.0	8.0	301	1	1	3
332	1661	52	44.1	12.0	14.318181818181818	6.533333333333333	10.0	450	3	1	3
333	1662	54	35.5	136.0	14.545454545454545	7.066666666666666	10.0	600	3	1	3
334	1662	54	31.7	132.0	14.772727272727273	7.6	10.0	500	2	2	1
335	1664	81	-14.1	-75.8	15.0	7.3	10.0	400	3	2	3
336	1664	49	38.1	46.3	14.5	7.275	9.333333333333334	1500	3	3	4
337	1665	49	35.4	52.0	14.0	7.25	8.666666666666666	759	3	3	3
338	1665	82	14.6	121.0	13.5	7.225	8.0	19	2	3	1
339	1667	25	42.6	18.1	13.0	7.2	11.0	5000	4	4	4
340	1667	49	37.2	57.5	12.5	7.050000000000001	10.5	12000	3	4	4
341	1667	8	40.6	48.6	12.0	6.9	10.0	80000	4	4	4
342	1668	105	38.4	27.1	9.666666666666666	6.6	9.0	17500	3	4	4
343	1668	21	35.3	118.6	7.333333333333333	8.5	12.0	42578	4	4	4
344	1669	8	40.6	48.6	5.0	5.7	9.0	7000	3	3	4
345	1671	8	40.6	48.6	12.0	5.65	9.0	4250	2	3	3
346	1672	52	43.933	12.583	19.0	5.6	10.0	1500	3	3	4
347	1673	30	18.3	-69.5	26.0	6.1	9.0	5	3	3	1
348	1673	49	36.3	59.3	33.0	6.6	8.0	5600	3	3	4
349	1674	48	-3.75	127.75	40.0	6.8	7.5	86	3	3	2
350	1677	21	33.4	104.8	40.0	5.5	7.0	44	1	3	3
351	1677	82	14.5	120.5	40.0	6.95	8.0	2	1	3	1
352	1678	81	-9.0	-79.0	40.0	8.4	9.0	1	3	3	3
353	1678	54	38.6	142.0	31.666666666666664	7.4	8.0	1	2	2	1
354	1678	47	34.1	74.8	23.333333333333332	6.65	7.0	3800	2	2	2
355	1679	105	40.1	44.7	15.0	5.9	9.0	7600	4	3	4
356	1679	21	40.0	117.0	17.142857142857142	8.0	11.0	13162	4	4	4
357	1679	21	31.4	119.5	19.285714285714285	5.0	7.0	7931	1	1	1
358	1680	21	25.0	101.5	21.42857142857143	6.8	9.0	2700	3	3	4
359	1680	94	36.5	-4.4	23.57142857142857	6.9	9.0	70	3	3	2
